location,water_extracted
Bangalore-1,1320
Bangalore-2,1507
Bangalore-3,651
Bangalore-4,1681
Bangalore-5,1789
Bangalore-6,1905
Bangalore-7,609
Bangalore-8,810
Bangalore-9,805
Bangalore-10,1652
Bangalore-11,1122
Bangalore-12,674
Bangalore-13,1008
Bangalore-14,742
Bangalore-15,1642
Bangalore-16,1352
Bangalore-17,1741
Bangalore-18,1720
Bangalore-19,1766
Bangalore-20,962
Bangalore-21,1570
Bangalore-22,1279
Bangalore-23,1422
Bangalore-24,1406
Bangalore-25,1108
Bangalore-26,1705
Bangalore-27,1378
Bangalore-28,1125
Bangalore-29,1664
Bangalore-30,1771
Bangalore-31,623
Bangalore-32,1748
Bangalore-33,703
Bangalore-34,925
Bangalore-35,1781
Bangalore-36,932
Bangalore-37,1041
Bangalore-38,1852
Bangalore-39,666
Bangalore-40,821
Bangalore-41,991
Bangalore-42,855
Bangalore-43,1630
Bangalore-44,653
Bangalore-45,820
Bangalore-46,505
Bangalore-47,1336
Bangalore-48,1422
Bangalore-49,1911
Bangalore-50,1716
Bangalore-51,1462
Bangalore-52,1096
Bangalore-53,566
Bangalore-54,974
Bangalore-55,1090
Bangalore-56,1947
Bangalore-57,1079
Bangalore-58,1939
Bangalore-59,1429
Bangalore-60,645
Bangalore-61,1907
Bangalore-62,978
Bangalore-63,1041
Bangalore-64,1780
Bangalore-65,1707
Bangalore-66,1854
Bangalore-67,905
Bangalore-68,1370
Bangalore-69,735
Bangalore-70,1615
Bangalore-71,960
Bangalore-72,1826
Bangalore-73,805
Bangalore-74,1044
Bangalore-75,791
Bangalore-76,646
Bangalore-77,622
Bangalore-78,839
Bangalore-79,1129
Bangalore-80,1718
Bangalore-81,1665
Bangalore-82,1091
Bangalore-83,1399
Bangalore-84,754
Bangalore-85,1459
Bangalore-86,1910
Bangalore-87,1122
Bangalore-88,1933
Bangalore-89,1324
Bangalore-90,1057
Bangalore-91,1524
Bangalore-92,1605
Bangalore-93,1511
Bangalore-94,1396
Bangalore-95,664
Bangalore-96,1724
Bangalore-97,581
Bangalore-98,1384
Bangalore-99,1160
Bangalore-100,1736
